text,label,clean_text,finbert_label
Emera Teleconference on August 10 to Discuss Q2 2022 Results  https://t.co/KoJxf8sSP9  https://t.co/n7VzfukXWf,5,emera teleconference on august 10 to discuss q2 2022 results    ,0
"Feds say 2 NY residents used Trump fundraiser, photo in $27M investment scam  https://t.co/5EobtnCBTT",12,feds say 2 ny residents used trump fundraiser photo in 27m investment scam  ,0
"TAP, TAP, TAP, 21-ema broken across the board; $SPY $QQQ $DIA $XLF  A little follow-through instead of a gap-up would be grrrreat.  https://t.co/TZDmGQBbGu",18,tap tap tap 21ema broken across the board spy qqq dia xlf  a little followthrough instead of a gapup would be grrrreat  ,0
Electricity use in Texas soared to a record high for the ninth time this year as extreme heat and the rapidly growing local economy tests the state’s grid  https://t.co/bCu6ICNwdz,14,electricity use in texas soared to a record high for the ninth time this year as extreme heat and the rapidly growing local economy tests the states grid  ,1
$WIT - Wipro Limited 2023 Q1 - Results - Earnings Call Presentation.  https://t.co/ByLaADsRLA #markets #economy #stocks,5,wit  wipro limited 2023 q1  results  earnings call presentation   markets economy stocks,0
Ex-Trump adviser Bannon says he is willing to testify to January 6 panel  https://t.co/ZQ9t8OmEe5,16,extrump adviser bannon says he is willing to testify to january 6 panel  ,0
$GBX - Analysts defend Greenbrier despite post-earnings plunge  https://t.co/wBazHL2BWu,0,gbx  analysts defend greenbrier despite postearnings plunge  ,1
"Abu Dhabi Investment Authority, an $829 billion sovereign wealth fund, overhauls its internal structure and processes and redefines how it takes future investment decisions  https://t.co/gaw1tul7Fw",2,abu dhabi investment authority an 829 billion sovereign wealth fund overhauls its internal structure and processes and redefines how it takes future investment decisions  ,0
U.S. federal budget deficit widens to $89B in June  https://t.co/zRySPeRuFT,14,us federal budget deficit widens to 89b in june  ,0
Eurozone Deposit Facility Rate Jul 21: 0.000% (est -0.250%; prev -0.500%)  - Eurozone Main Refinancing Rate Jul 21: 0.500% (est 0.250%; prev 0.000%)  - Eurozone Marginal Lending Facility Jul 21: 0.750% (est 0.500%; prev 0.250%),1,eurozone deposit facility rate jul 21 0000 est 0250 prev 0500   eurozone main refinancing rate jul 21 0500 est 0250 prev 0000   eurozone marginal lending facility jul 21 0750 est 0500 prev 0250,0
$MITT - Keefe Bruyette analyst downgrades AG Mortgage Investment Trust over sector concerns  https://t.co/jxSU3dUoB9,0,mitt  keefe bruyette analyst downgrades ag mortgage investment trust over sector concerns  ,2
$AEI loading up some for next week.... pennies are getting hot again and this one has a beautiful bottom chart. Swing add,18,aei loading up some for next week pennies are getting hot again and this one has a beautiful bottom chart swing add,1
From Breakingviews - Draghi’s exit is bad news for Italy and the euro  https://t.co/HaGETzGruu,9,from breakingviews  draghis exit is bad news for italy and the euro  ,2
American Airlines forecasts profit in third quarter thanks to rebound in travel and fares  https://t.co/atKhtfHTm5,7,american airlines forecasts profit in third quarter thanks to rebound in travel and fares  ,1
"Biden’s economic approval rating falls to new low on fear about inflation, CNBC survey finds  https://t.co/Pz6gBpZaEw",16,bidens economic approval rating falls to new low on fear about inflation cnbc survey finds  ,2
A potentially record-breaking heatwave is heaping more chaos on an already broken Britain  https://t.co/YYec8f7wQn,9,a potentially recordbreaking heatwave is heaping more chaos on an already broken britain  ,0
SHAREHOLDER ACTION REMINDER: The Schall Law Firm Encourages Purchasers of Celsius Network LLC’s Financial Products with Losses to Contact the Firm  https://t.co/2sFyD7h9k2  https://t.co/kEjp1RWJuE,12,shareholder action reminder the schall law firm encourages purchasers of celsius network llcs financial products with losses to contact the firm    ,0
"Wheat futures wiped out their gains for the year in Chicago, as prospects for weaker demand offset supply worries exacerbated by Russia’s invasion of Ukraine  https://t.co/qbXug3K3fi",14,wheat futures wiped out their gains for the year in chicago as prospects for weaker demand offset supply worries exacerbated by russias invasion of ukraine  ,2
Cathie Wood’s $ARKK ETF is set to liquidate its transparency ETF. @alexandraandthecity explains:  https://t.co/PTJ6hjO7JF,2,cathie woods arkk etf is set to liquidate its transparency etf alexandraandthecity explains  ,0
"BREAKING: The ECB raises interest rates by 50 basis points, the first hike in 11 years, joining global peers in confronting a historic spike in inflation  https://t.co/a3Or4LLVOr",1,breaking the ecb raises interest rates by 50 basis points the first hike in 11 years joining global peers in confronting a historic spike in inflation  ,0
Maryland Rep. Jamie Raskin says Trump’s Dec. 19 tweet motivated the Oathkeepers and Proud Boys to work together and coordinate their activities  https://t.co/GR4ebnayNb  https://t.co/BeprPDIdJ3,16,maryland rep jamie raskin says trumps dec 19 tweet motivated the oathkeepers and proud boys to work together and coordinate their activities    ,1
Clean Harbors to Announce Second-Quarter 2022 Financial Results on August 3  https://t.co/6aPlRBkXm6,5,clean harbors to announce secondquarter 2022 financial results on august 3  ,0
Activist hedge fund Elliott Management has amassed a stake of more than 9% in Pinterest  https://t.co/r5tu9ULifE,13,activist hedge fund elliott management has amassed a stake of more than 9 in pinterest  ,0
Russia's oil deliveries to China and India are 30% below peak  https://t.co/MlHiT9gA0I  https://t.co/1dCU0abF36,6,russias oil deliveries to china and india are 30 below peak    ,2
FED'S BARKIN: FED HAS THE TOOLS AND THE CREDIBILITY TO GET INFLATION UNDER CONTROL,1,feds barkin fed has the tools and the credibility to get inflation under control,1
$ALRS - Alerus Financial appoints Jon Hendry as chief technology officer  https://t.co/89IorntBi3,17,alrs  alerus financial appoints jon hendry as chief technology officer  ,0
$MULN - Mullen Automotive signs agreement with Amazon's delivery partner for EV cargo vans  https://t.co/kAJdqEcRE0,2,muln  mullen automotive signs agreement with amazons delivery partner for ev cargo vans  ,0
Higher tax revenues and the phasing out of pandemic-relief spending chopped the US budget deficit by a record $1.7 trillion in the first nine months of the fiscal year  https://t.co/XhxaxxASGS,14,higher tax revenues and the phasing out of pandemicrelief spending chopped the us budget deficit by a record 17 trillion in the first nine months of the fiscal year  ,1
The devil will be in the detail when ECB President Christine Lagarde presents a new market-calming measure to investors  https://t.co/zBdc9QF3kO,1,the devil will be in the detail when ecb president christine lagarde presents a new marketcalming measure to investors  ,0
Upland Software to Release Second Quarter Financial Results on August 3  https://t.co/PMDeGXc301  https://t.co/0c6y1br9KR,5,upland software to release second quarter financial results on august 3    ,0
"@dshamanaman @I_MT978 Looks like $TWTR got it, thanks Dave!",18,dshamanaman i_mt978 looks like twtr got it thanks dave,0
Hildred Capital Management Appoints Orle Mulamekic Managing Director and Chief Financial Officer  https://t.co/F50BAkGd0e  https://t.co/Zf6Pj6eKJI,17,hildred capital management appoints orle mulamekic managing director and chief financial officer    ,0
A startup wants to give workers with wanderlust (and disposable income) a taste of the van life with RV camps that resemble a WeWork  https://t.co/BmsxeASvyp,9,a startup wants to give workers with wanderlust and disposable income a taste of the van life with rv camps that resemble a wework  ,0
"Indonesia's central bank keeps its benchmark rate unchanged to foster economic growth, as it sits out the global shift toward fighting inflation with tighter monetary policies  https://t.co/PawY8ySNB5",1,indonesias central bank keeps its benchmark rate unchanged to foster economic growth as it sits out the global shift toward fighting inflation with tighter monetary policies  ,0
The former Anglo American CEO is talking to private equity firms about ways to invest in the mining sector as the energy transition gathers pace  https://t.co/GZjUKHHFM9,9,the former anglo american ceo is talking to private equity firms about ways to invest in the mining sector as the energy transition gathers pace  ,0
"$JNJ (+0.9% pre) Johnson &amp; Johnson stock gains after profit and sales beat expectations, while full-year outlook was cut - MW   https://t.co/Rf0OhCuNVg",19,jnj 09 pre johnson amp johnson stock gains after profit and sales beat expectations while fullyear outlook was cut  mw   ,1
Global Partners Announces Cash Distributions on Series A and B Preferred Units  https://t.co/RTiAtcKoLg  https://t.co/sqwpeUzPBF,4,global partners announces cash distributions on series a and b preferred units    ,0
"So long as underlying inflation is high, the Fed is not your friend.  https://t.co/qXKyuRTQSM",1,so long as underlying inflation is high the fed is not your friend  ,0
ProducePay and ALLCOT to Launch Industry-First Carbon Offset Program For Produce Growers  https://t.co/iTgKl9T6TK  https://t.co/ycl3OCtiMI,2,producepay and allcot to launch industryfirst carbon offset program for produce growers    ,0
$LC - LendingClub: The Risks And What To Expect.  https://t.co/iIrq5Q4FRu #investing #stocks #stockmarket,18,lc  lendingclub the risks and what to expect   investing stocks stockmarket,2
The Honest Company Launches at Walmart to Expand U.S. Distribution  https://t.co/NKAXw625Tb  https://t.co/BHyPiYY4P0,2,the honest company launches at walmart to expand us distribution    ,0
"FRONTLINE INVESTOR ALERT by the Former Attorney General of Louisiana: Kahn Swick &amp; Foti, LLC Investigates Merger of Frontline Ltd. - FRO  https://t.co/2rjMv08iE4  https://t.co/No3lc3g5n4",12,frontline investor alert by the former attorney general of louisiana kahn swick amp foti llc investigates merger of frontline ltd  fro    ,0
The US has put a simmering trade spat over fertilizer imports on ice  https://t.co/VatN1HV2CP,14,the us has put a simmering trade spat over fertilizer imports on ice  ,0
Economists: 'We will see some relief' from soaring inflation  https://t.co/vOR3Vtlk4z by @daniromerotv  https://t.co/A4qwNsltZI,14,economists we will see some relief from soaring inflation   by daniromerotv  ,1
$EHAB - Enhabit: A Chip Off The Old Stock.  https://t.co/jV6NEVFzwh #economy #markets #stocks,18,ehab  enhabit a chip off the old stock   economy markets stocks,0
Deepening inversion of Treasury yield curve is `getting harder to dismiss’  https://t.co/70WOuEDrgZ,3,deepening inversion of treasury yield curve is getting harder to dismiss  ,2
"Goldman Sachs CEO: Market Environment Has Become More Complicated, Inflation Is ‘Deeply Entrenched In Economy’",14,goldman sachs ceo market environment has become more complicated inflation is deeply entrenched in economy,0
$SNDL - Sundial Growers whipsaws ahead of shareholder meeting on reverse stock split  https://t.co/7BoKLTfvoh,2,sndl  sundial growers whipsaws ahead of shareholder meeting on reverse stock split  ,0
$TOL - Toll Brothers: A Luxury Builder At A Bargain Price.  https://t.co/7hqW4NuyEF #finance #investing #business,18,tol  toll brothers a luxury builder at a bargain price   finance investing business,0
$TSM - Buy Taiwan Semiconductor: Too Oversold.  https://t.co/R9WHr6R0pO #finance #economy #investing,18,tsm  buy taiwan semiconductor too oversold   finance economy investing,1
"$FBSI - First Bancshares GAAP EPS of $0.57, revenue of $4.77M  https://t.co/mx7wRva5Ai",7,fbsi  first bancshares gaap eps of 057 revenue of 477m  ,0
Oil prices tumble more than $2 ahead of potential large U.S. rate hike - SI   https://t.co/PH0NOSlv6c,6,oil prices tumble more than 2 ahead of potential large us rate hike  si   ,2
"Watch List, 7/17: $VRTX $UNH $UTHR $HALO $SWAV $LNTH $CELH $LI  Charts courtesy of @MarketSmith",18,watch list 717 vrtx unh uthr halo swav lnth celh li  charts courtesy of marketsmith,0
"@NFTpfpPurchaser IBM results were solid, LMT were ugly - so yea, would still delineate between good./bad results being sold",18,nftpfppurchaser ibm results were solid lmt were ugly  so yea would still delineate between goodbad results being sold,1
#Consumerdiscretionary sector outperforms despite sector lags $XLY $PHM $DHI $LEN $MCD $SPY $QQQ $DIA $SPX $COMPQ $DJIA  https://t.co/LzEmmm8k9g #economy #stockmarket,15,consumerdiscretionary sector outperforms despite sector lags xly phm dhi len mcd spy qqq dia spx compq djia   economy stockmarket,1
U.S. stocks fell as earnings season is set to kick off this week and investors worried about the impact of inflation on corporate profits  https://t.co/FFQUUXyFHW,15,us stocks fell as earnings season is set to kick off this week and investors worried about the impact of inflation on corporate profits  ,2
$VRRM (+4.4% pre) Verra Mobility (VRRM) Raises FY22 Guidance - SI   https://t.co/d1Y2gWqVrr,19,vrrm 44 pre verra mobility vrrm raises fy22 guidance  si   ,1
"India is considering lowering the recently-implemented windfall tax as profits of fuel exporters and oil producers are dwindling due to the crash in global crude prices, sources say  https://t.co/11zOlpy3FD",14,india is considering lowering the recentlyimplemented windfall tax as profits of fuel exporters and oil producers are dwindling due to the crash in global crude prices sources say  ,2
RapidAPI Establishes European Headquarters with New Berlin Office  https://t.co/YF8EikPgi1  https://t.co/ljBOt8b2y7,2,rapidapi establishes european headquarters with new berlin office    ,0
Right Networks Expands Leadership Team as Company Experiences Record Growth    https://t.co/J4gktsNWux  https://t.co/vVAu5hhlvP,17,right networks expands leadership team as company experiences record growth      ,1
